Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
koira	Declension of votdecl





singular

plural


nominative

koira

koirad


genitive

koiraa

koirõje


partitive

koiraa

koirõit


illative

koiraa

koirõisõ


inessive

koiraz

koirõiz


elative

koirass

koirõiss


allative

koiralõ

koirõilõ


adessive

koirall

koirõil


ablative

koiralt

koirõlt


translative

koirassi

koirõissi


essive

koirana

koirõina


comitative

koiraka

koirõika


terminative

koiralõssa

koirõilõssa	vot-decl	NOUN	Case=Nom;Number=Sing	decl





singular

plural


nominative

	

	

;


genitive

;

;


partitive

;

;


illative

;

;


inessive

;

;


elative

;

;


allative

;

;


adessive

;

;


ablative

;

;


translative

;

;


essive

;

;


comitative

;

;


terminative

;

	al


nominative

koira

koirad


genitive

koiraa

koirõje


partitive

koiraa

koirõit


illative

koiraa

koirõisõ


inessive

koiraz

koirõiz


elative

koirass

koirõiss


allative

koiralõ

koirõilõ


adessive

koirall

koirõil


ablative

koiralt

koirõlt


translative

koirassi

koirõissi


essive

koirana

koirõina


comitative

koiraka

koirõika


terminative

koiralõssa

koirõilõs
koira	koirad	vot-decl	NOUN	Case=Voc;Number=Sing				koirad
koira	koiraa	vot-decl	NOUN	Case=Gen;Number=Plur				koiraa
koira	koiraa	vot-decl	NOUN	Case=Dat;Number=Sing				koiraa
koira	koirõit	vot-decl	NOUN	Case=Dat;Number=Plur				koirõit
koira	koiraa	vot-decl	NOUN	Case=Nom;Number=Sing				koiraa
koira	koirõiz	vot-decl	NOUN	Case=Ins;Number=Plur				koirõiz
koira	koirõiss	vot-decl	NOUN	Case=Loc;Number=Plur				koirõiss
luu	Declension of votdecl





singular

plural


nominative

luu

luud


genitive

luu

luďďe


partitive

luut

luit


illative

luhõõ

luise


inessive

luuz

luiz


elative

luuss

luiss


allative

luulõ

luilõ


adessive

luull

luill


ablative

luult

luilt


translative

luussi

luissi


essive

luuna

luina


comitative

luuka

luika


terminative

luussa

